scientificName	eoo_natura
Raiboscelis corvinus corvinus	2242.60170114871
Acmaeodera flavolineata piloselloides	1968.5542211709
Anthaxia schoenmanni	1875.87041106076
Troglophilus spinulosus	2136.99413915335
Harpactea catholica	520.264148802796
Malthonica minoa	1754.09003447495
Walckenaeria cretaensis	1478.52932257657
Scolopendra cretica	2284.08458414445
Zelotes chaniaensis	1456.09378892141
Zelotes daidalus	2161.3060896461
Zelotes minous	2032.32303281562
Dailognatha quadricollis plicata	734.854957649518
Dendarus opacus	767.286764462958
Rhodostrophia cretacaria	1255.12364188498
Maimuna cretica	1897.62560111541
Nemesia daedali	13.5542948362131
Acmaeodera saxicola minoa	1774.34516729303
Orthonotus creticus	231.744393984623
Acrosternum malickyi	264.13588681916
Eupholidoptera latens	432.043466326742
Aelurillus leipoldae	1786.68636826711
Zodarion albipatellarae	1041.27694772833
Dailognatha quadricollis rugata	2187.18248184398
Heliophanus creticus	1519.67374887633
Orchamus raulinii	1369.01845431138
Dysdera gigas	1495.7649717189
Harpactea cressa	1670.37857027268
Theridion helena	1839.99653105516
Julodis pubescens yvenii	2073.67085107861
Tentyria rotundata paganettii	1911.87619610857
Monomorium creticum	2035.93626358369
Eupholidoptera giuliae	563.570252175744
Pholcus creticus	1026.32351564148
Blaps cretensis	1620.85588165412
Erodius orientalis boyeri	NA
Phymatiotris quadricollis cretica	1853.05514043568
Pimelia sericella	820.682006233565
Rhyparochromus creticus	335.095697640512
Nebrioporus amicorum	1386.53143658391
Sigara nigrolineata mendax	652.348560087718
Zodarion spinibarbe	1871.52614764234
Hydropsyche rhadamanthys	1740.90794567584
Oxyopomyrmex laevibus	NA
Temnothorax daidalosi	1018.96140852783
Temnothorax proteii	1394.33397196828
Temnothorax variabilis	734.200503075281
Quedius sigwalti	912.986444558567
Xantholinus erinaceus	1208.32303741642
Palmar cretica	329.94694447525
Perotis margotana	1509.38651818175
Pimelia phymatodes	1216.82857258683
Poecilimon cretensis	2130.1589995799
Cataglyphis cretica	1678.01980570793
Phytoecia coerulescens cretensis	1552.2009616368
Boyeria cretensis	1227.85714718285
Dysdera neocretica	13.7248109395498
Hydraena subinura	1882.36715347135
Stictoleptura slamai	948.774588841518
Aneugmenus oertzeni	294.225643934082
Strongylogaster cretensis	546.570946748053
Harpactea coccifera	1747.69387598159
Limnephilus minos	339.470438584166
Pronomaea wunderlei	0.462534383949053
Coenagrion intermedium	832.796292599099
Ptosima undecimmaculata metallescens	1458.45080070811
Allotyphlus foedatus	350.791769827449
Bryaxis meybohmianus	683.833776888106
Aphaenogaster cecconii	1542.99321238709
Xantholinus creticus	402.046007319327
Aphaenogaster balcanicoides	NA
Dendarus foraminosus foraminosus	1120.31420639352
Dendarus puncticollis	633.762613259513
Stenopterus creticus	1744.07801023448
Medon cerrutii	1475.59482233424
Amaurobius candia	648.819832021416
Aplocera cretica	1451.2855969275
Hydropsyche sarpedon	1287.18067333715
Oxyethira mithi	1438.97771221119
Beraeamyia aphyrte	552.153571054379
Plectrocnemia conspersa keftiu	352.812660494988
Tinodes aligi	54.932348814747
Stenichnus hummleri	0.333585779538181
Saitis ariadneae	1010.89645446905
Deroplia troberti cruciata	92.0641812395623
Ryacophila gudrunae	63.1096147756247
Cephennium chanianum	19.0507481997277
Kenotyphlus virgatus	189.64864196034
Tychus reitterianus	1212.37437626902
Stenichnus aegialioides	986.761471290341
Scydmoraphes minotauri	769.587631182418
Acmaeoderella stepaneki	1454.90489698594
Tinodes reisseri	1810.19068507744
Periclista cretica	252.134364239283
Dysderocrates marani	751.928817815205
Agapanthia cynarae michaeli	1597.74637765685
Agapanthia probsti	112.875367801408
Pedostrangalia ariadne	441.590209549415
Prionobius myardi proksi	1372.04528664474
Trichoferus bergeri	1494.48301165585
Amauronyx paganettii	NA
Leptobium creticum	1694.53075840353
Medon beroni	795.325095048826
Proteinus creticus	1202.93568138823
Typhlocyptus creticus	198.554291516729
Cretotyphlus chanianus	NA
Alevonota cretica	854.067855378573
Scydmoraphes fuelscheri	541.927924575036
Stenichnus brachati	1079.54346972502
Cephennium meybohmi	NA
Anthaxia margotana	191.157584829956
Stictoleptura cordigera anojiaensis	1410.90990357784
Trichoferus berberidis	769.432910923196
Chrysis pseudoscutellaris	1231.61576079905
Cyclophora ariadne	783.399549069726
Stenophylax minoicus	858.39822374405
Tinodes rethimnon	46.323527025717
Pholcus spiliensis	1172.4299581351
Eupholidoptera astyla	903.57422306296
Phytocoris eduardi	153.657071123865
Phytocoris malickyi	166.158209153246
Drusilla cretica	501.33532122462
Geostiba idaea	69.9793452321517
Dendarus graecus	1526.57184970771
Calopteryx splendens cretensis	812.064137943177
Athripsodes longispinosus paleochora	884.364687983391
Macrothele cretica	545.954529427578
Anthaxia nigrojubata inexpectata	632.973133360838
Crocallis helenaria	146.452274284571
Eumannia psyloritaria	206.784475871837
Glossotrophia mentzeri	1468.97721480046
Zelotes creticus	861.473567267736
Tychus chanianus	NA
Batrisodes paganettii	896.140914031268
Geostiba icaria	0.789101230293159
Gabrius candicus	NA
Scopaeus muehlei	1028.21777213846
Isotomus jarmilae	242.931225958083
Amauronyx occidens	NA
Macrotylus soosi	549.582783909186
Lobrathium candicum	1009.49660221242
Leptomastax cretica	882.448132725138
Stenichnus basimpressus	390.671756633952
Scydmoraphes ziegleri	643.297642557011
Aelurillus cretensis	1299.24096834429
Acmaeodera bartoni	1288.9727803434
Anthaxia senicula cretica	70.3820889734917
Latipalpis margotana	749.909796509292
Geostiba albimontis	73.7295492492871
Pseudosphegesthes bergeri	10.2813028019806
Stictoleptura picticornis	1236.61368039669
Laena oertzeni	NA
Faronus meybohmi	178.860798118517
Amauronyx chanianus	NA
Oxypoda retunsa	440.501906806349
Pellenes florii	NA
Bidessus cretensis	NA
Pogonocherus perroudi brevipilosus	NA
Aloconota minoica	144.779264978596
Gryllomorpha cretensis	2043.87861693629
Acmaeoderella rezeki	NA
Dailognatha quadricollis pseudobtusangula	1.02223642277644
Dendarus dragonadanus	1.40534965332431
Grammoptera auricollis basicornis	352.579185779145
Platycleis albopunctata cretica	483.036886576292
Malthonica daedali	NA
Stenus ariadne	NA
Laena wittmeri	NA
Xanthomus ovulus	NA
Lasius tapinomoides	1074.28205259483
Aloconota brachyptera	298.854631954534
Myrmecopora fornicata	0
Myrmecopora plana	35.6991746452118
Walckenaeria hammus	NA
Anthaxia ariadna	387.656742223657
Anthaxia brodskyi	NA
Anthaxia praeclara creticola	788.213967489785
Harpalus sulphuripes creticus	608.786566835307
Anaglyptus praecellens	238.050428760312
Callimus angulatus glabrescens	739.493851882679
Leiopus nebulosus insulanus	NA
Purpuricenus schurmanni	537.016273601869
Claviger oertzeni	NA
Dailognatha cylindritarsis	1637.05104747722
Dichillus obenbergeri	NA
Helops glabriventris jelineki	211.460529764668
Odocnemis cretensis	1435.1016471731
Heterocordylus heissi	NA
Messor creticus	164.547216267111
Ennomos duercki	20.3545150188332
Pareulype lasithiotica	289.029601737234
Cephennium selinonum	NA
Dailognatha quadricollis montana	722.564302253401
Dendarus wettsteini	72.6692270515
Astenus minos	3.80204958895205
Palliduphantes malickyi	500.646061142711
Allantus nigrolinearis	179.02929073142
Pristiphora cretica	179.27569601853
Maurodactylus fulvus	118.284310045048
Bellatheta albimontis	0.230653779415486
Quedius praecisus	16.6520019933118
Temnothorax minotaurosi	NA
Chrysis grohmanni cretensis	123.241518158545
Temnothorax ariadnae	63.2226934212167
Ovaliptila lindbergi	1222.98610901864
Heterarthrus imbrosensis	11.2652066560024
Boreaphilus meybohmi	2.64224175634306
Geostiba inexsecta	NA
Boreaphilus fueschleri	349.311037997483
Amischa cretica	0.494440761025595
Afropselaphus assingi	NA
Ocalea cretica	166.911326559372
Cyllecoris ernsti	75.8996565240886
Tectusa callicera	0.366454336185058
Kalama cretica	NA
Atheta cretica	1.4782363559223901
Atheta digitalis	NA
Faronus albimontium	NA
Faronus lefkamontium	NA
Cephennium idanum	NA
Cephennium latius	NA
Cretotyphlus idanus	NA
Philodromus johani	NA
Dolichopoda paraskevi	371.940438148369
Phlegra theseusi	81.2223185748057
Nebula schneideraria eteocretica	NA
Euplectus assingi	420.985234932283
Pristiphora parnasia	112.719292540998
Eupholidoptera pallipes	2.08341779789396
Afropselaphus dornfeldae	NA
Eupholidoptera cretica	88.7282665484937
Anamastigona penicillata	NA
Anthaxia idea	5.71452441421602
Agapanthia cretica	596.924461340332
Strigopteroides margotanae	NA
Pogonocherus creticus	86.6110996211562
Geostiba exsecta	9.37972579771006
Oxypoda idana	NA
Myrmecopora idana	7.45980925122232
Myrmecopora elisa	60.815084182119
Sepedophilus creticus	248.043490567791
Amblyiulus creticus	766.624469529751
Orthotylus mariagratiae	NA
Oxypoda bimontium	28.4472130220018
Temnothorax incompletus	NA
Kenotyphlus creticus	NA
Cephennium sinuosum	67.9429950357327
Cephennium selenanum	NA
Geostiba meybohmi	106.816164454727
Amaurobius cretaensis	71.4357388359863
Eupholidoptera annamariae	20.0312762504937
Dionconotus confluens creticus	NA
Amauronyx askifouicus	NA
Eupholidoptera forcipata	22.7628709601446
Geostiba paulexsecta	0.0245002967601036
Dichrooscytus impros	NA
Cephennium arcuatum	NA
Bellatheta idana	NA
Lesteva longoelytrata cretica	74.7953130876778
Lesteva szekessyi	NA
Bythinus creticus	NA
Cretotyphlus hamatus	2.87543079391845
Sintula cretaensis	NA
Walckenaeria clavilobus	NA
Messor concolor	NA
Dendarus politus	178.203638162229
Sunius diktianus	36.063914051786
Nemesia caranhaci	NA
Tychus lagrecai	27.3684676287434
Coriomeris brevicornis	NA
Pyrrhocoris niger	NA
Lesteva nitidicollis	NA
Chrysis eraklionica	30.6049751493427
Raiboscelis corvinus slamai	3.49728857565529
Drassylus pumiloides	360.444708042065
Eupholidoptera mariannae	92.2706501148846
Oxypoda cretica	NA
Eupholidoptera gemellata	0.692546240790439
Allotyphlus candicus	52.0423558326715
Phytocoris parvuloides	NA
Leptobium thryptisense	18.0691529593022
Stenichnus orientalis	NA
Cephennium curvatum	NA
Eupholidoptera feri	NA
Rhacocleis derrai	757.621304715425
Cephennium hamulatum	NA
Afropselaphus diktianus	NA
Myllaena cretica	NA
Pseudobium creticum	NA
Geostiba diktiana	NA
Leptodrassus hadjissaranti	37.5717880744867
Tectusa diktiana	NA
Cousya candica	NA
Geomitopsis cretica	NA
Cephennium fortespinosum	NA
Euconnus zakrius	NA
Astenus thripticus	NA
Myrmecopora thriptica	0.208263126232944
Sunius thripticus	1.22178373635724
Geostiba thryptisensis	0.945180761167208
Amaurobius geminus	NA
Leptomastax thryptica	NA
Afropselaphus thripticus	NA
Cephennium thripticum	NA
Tectusa thriptica	NA
Anastrangalia montana steineri	NA
Temnothorax ikarosi	NA
Stosatea cretica	NA
Raiboscelis corvinus brodskyi	77.9932130899793
Tentyria sporadica zimmermanni	NA
Dendarus maximus	24.5071464427064
Raiboscelis corvinus bilyi	6.66170675929115
Eupholidoptera jacquelinae	22.3397640609338
Yllenus gavdos	NA
Tentyria sporadica gavdosana	8.1849963038375
Euscorpius candiota	2277.26019957924
Lithobius creticus	1344.27990306284
Carabus banoni	2210.44252681348
Tapinopterus creticus	2020.97272531325
Megaphyllum cretica	1876.24104074545
Zabrus oertzeni stepaneki	NA
Acanthopetalum minotauri	1541.62018088253
Iurus dekanum	1530.56750887449
Platyderus jedlickai	1661.09032210352
Jekelius brullei creticus	1814.73038700893
Bembidion subcostatum creticum	677.622626905502
Tschitscherinellus cordatus minos	860.317125795554
Zabrus oertzeni oertzeni	366.633074755287
Zabrus oertzeni creticus	15.5452045062738
Tapinopterus marani marani	NA
Chaetopelma lymberakisi	1351.03995392442
Eupholidoptera marietheresae	NA
Acanthopetalum furculigerum transitionis	NA
Calathus oertzeni jeanne	1333.99630465989
Tapinopterus stepaneki stepaneki	NA
Acinopus creticus	81.8894516551408
Zabrus oertzeni	NA
Zabrus oertzeni leukaorensis	207.536239551566
Anamastigona mediterranea	NA
Tapinopterus stepaneki leucaorensis	NA
Bembidion minoum	NA
Dendarus falassarnensis	NA
Dendarus mylonasi	NA
Dendarus grampusanus	NA
