gbif	n	class	family	genus	kingdom	order	phylum	species	subspecies	NA
10041995	1	Insecta	Staphylinidae	Sunius	Animalia	Coleoptera	Arthropoda	Sunius diktianus	NA	NA
10043124	1	Insecta	Staphylinidae	Geostiba	Animalia	Coleoptera	Arthropoda	Geostiba paulexsecta	NA	NA
10048846	1	Insecta	Staphylinidae	Lobrathium	Animalia	Coleoptera	Arthropoda	Lobrathium candicum	NA	NA
10065782	1	Insecta	Formicidae	Lasius	Animalia	Hymenoptera	Arthropoda	Lasius tapinomoides	NA	NA
10113904	1	Insecta	Staphylinidae	Sunius	Animalia	Coleoptera	Arthropoda	Sunius thripticus	NA	NA
1011788	1	Diplopoda	Schizopetalidae	Acanthopetalum	Animalia	Callipodida	Arthropoda	Acanthopetalum minotauri	NA	NA
1012218	1	Diplopoda	Julidae	Amblyiulus	Animalia	Julida	Arthropoda	Amblyiulus creticus	NA	NA
1016612	1	Diplopoda	Paradoxosomatidae	Stosatea	Animalia	Polydesmida	Arthropoda	Stosatea cretica	NA	NA
10177879	1	Insecta	Staphylinidae	Scydmoraphes	Animalia	Coleoptera	Arthropoda	Scydmoraphes minotauri	NA	NA
10217541	1	Insecta	Staphylinidae	Proteinus	Animalia	Coleoptera	Arthropoda	Proteinus creticus	NA	NA
1022773	1	Diplopoda	Anthroleucosomatidae	Anamastigona	Animalia	Chordeumatida	Arthropoda	Anamastigona mediterranea	NA	NA
1022774	1	Diplopoda	Anthroleucosomatidae	Anamastigona	Animalia	Chordeumatida	Arthropoda	Anamastigona penicillata	NA	NA
10261584	1	Insecta	Staphylinidae	Tychus	Animalia	Coleoptera	Arthropoda	Tychus lagrecai	NA	NA
10306494	1	Insecta	Staphylinidae	Myrmecopora	Animalia	Coleoptera	Arthropoda	Myrmecopora thriptica	NA	NA
10313218	1	Insecta	Staphylinidae	Scydmoraphes	Animalia	Coleoptera	Arthropoda	Scydmoraphes fuelscheri	NA	NA
10332019	1	Insecta	Staphylinidae	Aloconota	Animalia	Coleoptera	Arthropoda	Aloconota brachyptera	NA	NA
10354297	1	Insecta	Staphylinidae	Tectusa	Animalia	Coleoptera	Arthropoda	Tectusa thriptica	NA	NA
10369394	1	Insecta	Staphylinidae	Bellatheta	Animalia	Coleoptera	Arthropoda	Bellatheta idana	NA	NA
10380830	1	Arachnida	Theraphosidae	Chaetopelma	Animalia	Araneae	Arthropoda	Chaetopelma lymberakisi	NA	NA
10389093	1	Insecta	Staphylinidae	Pronomaea	Animalia	Coleoptera	Arthropoda	Pronomaea wunderlei	NA	NA
10392162	1	Insecta	Staphylinidae	Boreaphilus	Animalia	Coleoptera	Arthropoda	Boreaphilus meybohmi	NA	NA
10406496	1	Insecta	Staphylinidae	Geostiba	Animalia	Coleoptera	Arthropoda	Geostiba albimontis	NA	NA
10411562	1	Insecta	Staphylinidae	Leptobium	Animalia	Coleoptera	Arthropoda	Leptobium thryptisense	NA	NA
10413082	1	Insecta	Staphylinidae	Astenus	Animalia	Coleoptera	Arthropoda	Astenus thripticus	NA	NA
10415544	1	Insecta	Staphylinidae	Oxypoda	Animalia	Coleoptera	Arthropoda	Oxypoda cretica	NA	NA
10437946	1	Insecta	Staphylinidae	Quedius	Animalia	Coleoptera	Arthropoda	Quedius praecisus	NA	NA
10454852	1	Insecta	Staphylinidae	Xantholinus	Animalia	Coleoptera	Arthropoda	Xantholinus erinaceus	NA	NA
10473199	1	Insecta	Formicidae	Messor	Animalia	Hymenoptera	Arthropoda	Messor creticus	NA	NA
10545261	1	Insecta	Staphylinidae	Oxypoda	Animalia	Coleoptera	Arthropoda	Oxypoda idana	NA	NA
10577274	1	Insecta	Staphylinidae	Allotyphlus	Animalia	Coleoptera	Arthropoda	Allotyphlus candicus	NA	NA
10590676	1	Insecta	Staphylinidae	Alevonota	Animalia	Coleoptera	Arthropoda	Alevonota cretica	NA	NA
10643910	1	Insecta	Staphylinidae	Tectusa	Animalia	Coleoptera	Arthropoda	Tectusa callicera	NA	NA
10651750	1	Insecta	Staphylinidae	Drusilla	Animalia	Coleoptera	Arthropoda	Drusilla cretica	NA	NA
10804372	1	Insecta	Staphylinidae	Myllaena	Animalia	Coleoptera	Arthropoda	Myllaena cretica	NA	NA
1102045	1	Insecta	Cerambycidae	Pedostrangalia	Animalia	Coleoptera	Arthropoda	Pedostrangalia ariadne	NA	NA
11117479	1	Insecta	Staphylinidae	Pseudobium	Animalia	Coleoptera	Arthropoda	Pseudobium creticum	NA	NA
11118206	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium chanianum	NA	NA
11123989	1	Insecta	Staphylinidae	Euplectus	Animalia	Coleoptera	Arthropoda	Euplectus assingi	NA	NA
11124400	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium fortespinosum	NA	NA
11125535	1	Insecta	Staphylinidae	Leptomastax	Animalia	Coleoptera	Arthropoda	Leptomastax thriptica	NA	NA
11126449	1	Insecta	Staphylinidae	Typhlocyptus	Animalia	Coleoptera	Arthropoda	Typhlocyptus creticus	NA	NA
11129230	1	Insecta	Staphylinidae	Faronus	Animalia	Coleoptera	Arthropoda	Faronus meybohmi	NA	NA
11130466	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium idanum	NA	NA
11133358	1	Insecta	Staphylinidae	Cousya	Animalia	Coleoptera	Arthropoda	Cousya candica	NA	NA
11136368	1	Insecta	Staphylinidae	Cretotyphlus	Animalia	Coleoptera	Arthropoda	Cretotyphlus hamatus	NA	NA
11136689	1	Insecta	Staphylinidae	Amauronyx	Animalia	Coleoptera	Arthropoda	Amauronyx occidens	NA	NA
11137974	1	Insecta	Staphylinidae	Amauronyx	Animalia	Coleoptera	Arthropoda	Amauronyx askifouicus	NA	NA
11142693	1	Insecta	Staphylinidae	Stenichnus	Animalia	Coleoptera	Arthropoda	Stenichnus orientalis	NA	NA
11144205	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium thripticum	NA	NA
11145049	1	Insecta	Staphylinidae	Oxypoda	Animalia	Coleoptera	Arthropoda	Oxypoda retunsa	NA	NA
11145468	1	Insecta	Staphylinidae	Faronus	Animalia	Coleoptera	Arthropoda	Faronus albimontium	NA	NA
11146563	1	Insecta	Staphylinidae	Bythinus	Animalia	Coleoptera	Arthropoda	Bythinus creticus	NA	NA
11148194	1	Insecta	Staphylinidae	Gabrius	Animalia	Coleoptera	Arthropoda	Gabrius candicus	NA	NA
11149694	1	Insecta	Staphylinidae	Amischa	Animalia	Coleoptera	Arthropoda	Amischa cretica	NA	NA
11150333	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium curvatum	NA	NA
11151035	1	Insecta	Staphylinidae	Afropselaphus	Animalia	Coleoptera	Arthropoda	Afropselaphus thripticus	NA	NA
11156473	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium selenanum	NA	NA
11156718	1	Insecta	Staphylinidae	Bryaxis	Animalia	Coleoptera	Arthropoda	Bryaxis meybohmianus	NA	NA
11161699	1	Insecta	Staphylinidae	Oxypoda	Animalia	Coleoptera	Arthropoda	Oxypoda bimontium	NA	NA
11164126	1	Insecta	Staphylinidae	Stenichnus	Animalia	Coleoptera	Arthropoda	Stenichnus aegialioides	NA	NA
11170471	1	Insecta	Staphylinidae	Cretotyphlus	Animalia	Coleoptera	Arthropoda	Cretotyphlus idanus	NA	NA
11175828	1	Insecta	Staphylinidae	Euconnus	Animalia	Coleoptera	Arthropoda	Euconnus zakrius	NA	NA
11176474	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium meybohmi	NA	NA
11179656	1	Insecta	Staphylinidae	Tychus	Animalia	Coleoptera	Arthropoda	Tychus chanianus	NA	NA
11182442	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium sinuosum	NA	NA
11183131	1	Insecta	Staphylinidae	Afropselaphus	Animalia	Coleoptera	Arthropoda	Afropselaphus assingi	NA	NA
11183727	1	Insecta	Staphylinidae	Allotyphlus	Animalia	Coleoptera	Arthropoda	Allotyphlus foedatus	NA	NA
11188634	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium selinonum	NA	NA
11194073	1	Insecta	Staphylinidae	Atheta	Animalia	Coleoptera	Arthropoda	Atheta digitalis	NA	NA
11202419	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium latius	NA	NA
11205992	1	Insecta	Staphylinidae	Geomitopsis	Animalia	Coleoptera	Arthropoda	Geomitopsis cretica	NA	NA
11207971	1	Insecta	Staphylinidae	Afropselaphus	Animalia	Coleoptera	Arthropoda	Afropselaphus diktianus	NA	NA
11208677	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium hamulatum	NA	NA
11209853	1	Insecta	Staphylinidae	Leptomastax	Animalia	Coleoptera	Arthropoda	Leptomastax cretica	NA	NA
11212702	1	Insecta	Staphylinidae	Geostiba	Animalia	Coleoptera	Arthropoda	Geostiba inexsecta	NA	NA
11213525	1	Insecta	Staphylinidae	Faronus	Animalia	Coleoptera	Arthropoda	Faronus lefkamontium	NA	NA
11214777	1	Insecta	Staphylinidae	Cephennium	Animalia	Coleoptera	Arthropoda	Cephennium arcuatum	NA	NA
11216333	1	Insecta	Staphylinidae	Stenichnus	Animalia	Coleoptera	Arthropoda	Stenichnus brachati	NA	NA
11217275	1	Insecta	Staphylinidae	Kenotyphlus	Animalia	Coleoptera	Arthropoda	Kenotyphlus virgatus	NA	NA
11220745	1	Insecta	Staphylinidae	Cretotyphlus	Animalia	Coleoptera	Arthropoda	Cretotyphlus chanianus	NA	NA
11221040	1	Insecta	Staphylinidae	Amauronyx	Animalia	Coleoptera	Arthropoda	Amauronyx chanianus	NA	NA
11221453	1	Insecta	Staphylinidae	Sepedophilus	Animalia	Coleoptera	Arthropoda	Sepedophilus creticus	NA	NA
1124322	1	Insecta	Cerambycidae	Pseudosphegesthes	Animalia	Coleoptera	Arthropoda	Pseudosphegesthes bergeri	NA	NA
1132842	1	Insecta	Cerambycidae	Isotomus	Animalia	Coleoptera	Arthropoda	Isotomus jarmilae	NA	NA
1133749	1	Insecta	Cerambycidae	Pogonocherus	Animalia	Coleoptera	Arthropoda	Pogonocherus creticus	NA	NA
1151419	1	Insecta	Cerambycidae	Trichoferus	Animalia	Coleoptera	Arthropoda	Trichoferus bergeri	NA	NA
1151424	1	Insecta	Cerambycidae	Trichoferus	Animalia	Coleoptera	Arthropoda	Trichoferus berberidis	NA	NA
1160394	1	Insecta	Cerambycidae	Anaglyptus	Animalia	Coleoptera	Arthropoda	Anaglyptus praecellens	NA	NA
11683262	1	Insecta	Geometridae	Glossotrophia	Animalia	Lepidoptera	Arthropoda	Glossotrophia mentzeri	NA	NA
11735154	1	Arachnida	Salticidae	Pellenes	Animalia	Araneae	Arthropoda	Pellenes florii	NA	NA
11870427	1	Insecta	Formicidae	Temnothorax	Animalia	Hymenoptera	Arthropoda	Temnothorax ikarosi	NA	NA
1208967	1	Insecta	Tenebrionidae	Pimelia	Animalia	Coleoptera	Arthropoda	NA	NA	NA
1315863	1	Insecta	Formicidae	Aphaenogaster	Animalia	Hymenoptera	Arthropoda	NA	NA	NA
1315879	1	Insecta	Formicidae	Aphaenogaster	Animalia	Hymenoptera	Arthropoda	Aphaenogaster cecconii	NA	NA
1316470	1	Insecta	Formicidae	Messor	Animalia	Hymenoptera	Arthropoda	Messor concolor	NA	NA
1319559	1	Insecta	Formicidae	Cataglyphis	Animalia	Hymenoptera	Arthropoda	NA	NA	NA
1422033	1	Insecta	Coenagrionidae	Coenagrion	Animalia	Odonata	Arthropoda	Coenagrion intermedium	NA	NA
1425142	1	Insecta	Aeshnidae	Boyeria	Animalia	Odonata	Arthropoda	Boyeria cretensis	NA	NA
1432729	1	Insecta	Hydroptilidae	Oxyethira	Animalia	Trichoptera	Arthropoda	Oxyethira mithi	NA	NA
1435252	1	Insecta	Beraeidae	Beraeamyia	Animalia	Trichoptera	Arthropoda	Beraeamyia aphyrte	NA	NA
1442508	1	Insecta	Limnephilidae	Limnephilus	Animalia	Trichoptera	Arthropoda	Limnephilus minos	NA	NA
1688283	1	Insecta	Tettigoniidae	Poecilimon	Animalia	Orthoptera	Arthropoda	Poecilimon cretensis	NA	NA
1690233	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	NA	NA	NA
1690241	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera latens	NA	NA
1690242	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera cretica	NA	NA
1690258	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera astyla	NA	NA
1690267	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera pallipes	NA	NA
1690270	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera mariannae	NA	NA
1690274	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera giuliae	NA	NA
1690298	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera jacquelinae	NA	NA
1690301	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera forcipata	NA	NA
1690302	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera annamariae	NA	NA
1690310	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera gemellata	NA	NA
1694225	1	Insecta	Tettigoniidae	Rhacocleis	Animalia	Orthoptera	Arthropoda	Rhacocleis derrai	NA	NA
1698568	1	Insecta	Pamphagidae	Orchamus	Animalia	Orthoptera	Arthropoda	Orchamus raulinii	NA	NA
1721555	1	Insecta	Gryllidae	Ovaliptila	Animalia	Orthoptera	Arthropoda	Ovaliptila lindbergi	NA	NA
1966983	1	Insecta	Geometridae	Rhodostrophia	Animalia	Lepidoptera	Arthropoda	Rhodostrophia cretacaria	NA	NA
1975350	1	Insecta	Geometridae	Pareulype	Animalia	Lepidoptera	Arthropoda	Pareulype lasithiotica	NA	NA
1978105	1	Insecta	Geometridae	Eumannia	Animalia	Lepidoptera	Arthropoda	Eumannia psyloritaria	NA	NA
2132376	1	Arachnida	Gnaphosidae	Zelotes	Animalia	Araneae	Arthropoda	Zelotes minous	NA	NA
2132501	1	Arachnida	Gnaphosidae	Zelotes	Animalia	Araneae	Arthropoda	Zelotes shaked	NA	NA
2132549	1	Arachnida	Gnaphosidae	Zelotes	Animalia	Araneae	Arthropoda	Zelotes creticus	NA	NA
2132806	1	Arachnida	Gnaphosidae	Leptopilos	Animalia	Araneae	Arthropoda	Leptopilos hadjissaranti	NA	NA
2134734	1	Arachnida	Linyphiidae	Walckenaeria	Animalia	Araneae	Arthropoda	Walckenaeria hamus	NA	NA
2134761	1	Arachnida	Linyphiidae	Walckenaeria	Animalia	Araneae	Arthropoda	Walckenaeria claviloba	NA	NA
2134799	1	Arachnida	Linyphiidae	Walckenaeria	Animalia	Araneae	Arthropoda	Walckenaeria cretaensis	NA	NA
2135119	1	Arachnida	Linyphiidae	Sintula	Animalia	Araneae	Arthropoda	Sintula cretaensis	NA	NA
2135775	1	Arachnida	Linyphiidae	Palliduphantes	Animalia	Araneae	Arthropoda	Palliduphantes malickyi	NA	NA
2139015	1	Arachnida	Dysderidae	Harpactea	Animalia	Araneae	Arthropoda	Harpactea catholica	NA	NA
2139044	1	Arachnida	Dysderidae	Harpactea	Animalia	Araneae	Arthropoda	Harpactea cressa	NA	NA
2139121	1	Arachnida	Dysderidae	Harpactea	Animalia	Araneae	Arthropoda	Harpactea coccifera	NA	NA
2139237	1	Arachnida	Dysderidae	Dysderocrates	Animalia	Araneae	Arthropoda	Dysderocrates marani	NA	NA
2139386	1	Arachnida	Dysderidae	Dysdera	Animalia	Araneae	Arthropoda	Dysdera neocretica	NA	NA
2139470	1	Arachnida	Dysderidae	Dysdera	Animalia	Araneae	Arthropoda	Dysdera gigas	NA	NA
2139608	1	Arachnida	Agelenidae	Malthonica	Animalia	Araneae	Arthropoda	Malthonica daedali	NA	NA
2139625	1	Arachnida	Agelenidae	Malthonica	Animalia	Araneae	Arthropoda	Malthonica minoa	NA	NA
2139640	1	Arachnida	Agelenidae	Maimuna	Animalia	Araneae	Arthropoda	Maimuna cretica	NA	NA
2141574	1	Arachnida	Amaurobiidae	Amaurobius	Animalia	Araneae	Arthropoda	Amaurobius geminus	NA	NA
2141594	1	Arachnida	Amaurobiidae	Amaurobius	Animalia	Araneae	Arthropoda	Amaurobius cretaensis	NA	NA
2141625	1	Arachnida	Amaurobiidae	Amaurobius	Animalia	Araneae	Arthropoda	Amaurobius candia	NA	NA
2145076	1	Arachnida	Macrothelidae	Macrothele	Animalia	Araneae	Arthropoda	Macrothele cretica	NA	NA
2149997	1	Arachnida	Pholcidae	Pholcus	Animalia	Araneae	Arthropoda	Pholcus creticus	NA	NA
2150032	1	Arachnida	Pholcidae	Pholcus	Animalia	Araneae	Arthropoda	Pholcus spiliensis	NA	NA
2168518	1	Arachnida	Salticidae	Phlegra	Animalia	Araneae	Arthropoda	Phlegra theseusi	NA	NA
2168665	1	Arachnida	Salticidae	Aelurillus	Animalia	Araneae	Arthropoda	Aelurillus cretensis	NA	NA
2168671	1	Arachnida	Salticidae	Aelurillus	Animalia	Araneae	Arthropoda	Aelurillus leipoldae	NA	NA
2171990	1	Arachnida	Salticidae	Heliophanus	Animalia	Araneae	Arthropoda	Heliophanus creticus	NA	NA
2174537	1	Arachnida	Salticidae	Saitis	Animalia	Araneae	Arthropoda	Saitis ariadneae	NA	NA
2177457	1	Arachnida	Salticidae	Pseudomogrus	Animalia	Araneae	Arthropoda	Pseudomogrus gavdos	NA	NA
2229605	1	Chilopoda	Lithobiidae	Lithobius	Animalia	Lithobiomorpha	Arthropoda	Lithobius creticus	NA	NA
3261886	1	Insecta	Tenebrionidae	Laena	Animalia	Coleoptera	Arthropoda	NA	NA	NA
4391564	1	Insecta	Coreidae	Coriomeris	Animalia	Hemiptera	Arthropoda	Coriomeris brevicornis	NA	NA
4402659	1	Insecta	Tettigoniidae	Eupholidoptera	Animalia	Orthoptera	Arthropoda	Eupholidoptera feri	NA	NA
4425651	1	Insecta	Geotrupidae	Jekelius	Animalia	Coleoptera	Arthropoda	Jekelius brullei	Jekelius brullei creticus	NA
4431318	1	Insecta	Buprestidae	Acmaeoderella	Animalia	Coleoptera	Arthropoda	Acmaeoderella stepaneki	NA	NA
4431365	1	Insecta	Buprestidae	Acmaeodera	Animalia	Coleoptera	Arthropoda	Acmaeodera flavolineata	Acmaeodera flavolineata piloselloides	NA
4431428	1	Insecta	Buprestidae	Acmaeodera	Animalia	Coleoptera	Arthropoda	Acmaeodera saxicola	Acmaeodera saxicola minoa	NA
4431455	1	Insecta	Buprestidae	Acmaeodera	Animalia	Coleoptera	Arthropoda	Acmaeodera bartoni	NA	NA
4431615	1	Insecta	Buprestidae	Anthaxia	Animalia	Coleoptera	Arthropoda	Anthaxia margotana	NA	NA
4431800	1	Insecta	Buprestidae	Anthaxia	Animalia	Coleoptera	Arthropoda	Anthaxia ariadna	NA	NA
4431835	1	Insecta	Buprestidae	Anthaxia	Animalia	Coleoptera	Arthropoda	Anthaxia brodskyi	NA	NA
